[2023-12-05 22:22:27,121] WARN Session 0x10009bfe1540001 for server localhost/127.0.0.1:2181, Closing socket connection. Attempting reconnect except it is a SessionExpiredException. (org.apache.zookeeper.ClientCnxn)
EndOfStreamException: Unable to read additional data from server sessionid 0x10009bfe1540001, likely server has closed socket
[2023-12-05 22:22:27,389] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner$CleanerThread)
[2023-12-05 22:22:27,389] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner$CleanerThread)
[2023-12-05 22:22:27,504] INFO [ProducerStateManager partition=__consumer_offsets-3]Wrote producer snapshot at offset 1 with 0 producer ids in 3 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2023-12-05 22:22:27,513] INFO [ProducerStateManager partition=incoming-videos-0]Wrote producer snapshot at offset 5 with 0 producer ids in 4 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2023-12-05 22:22:27,595] INFO [ProducerStateManager partition=__consumer_offsets-7]Wrote producer snapshot at offset 3 with 0 producer ids in 4 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2023-12-05 22:22:27,653] INFO [ProducerStateManager partition=__consumer_offsets-15]Wrote producer snapshot at offset 162 with 0 producer ids in 4 ms. (org.apache.kafka.storage.internals.log.ProducerStateManager)
[2023-12-05 22:22:27,687] INFO Shutdown complete. (kafka.log.LogManager)
[2023-12-05 22:22:27,691] INFO [feature-zk-node-event-process-thread]: Shutting down (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2023-12-05 22:22:27,691] INFO [feature-zk-node-event-process-thread]: Stopped (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2023-12-05 22:22:27,691] INFO [feature-zk-node-event-process-thread]: Shutdown completed (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2023-12-05 22:22:27,693] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2023-12-05 22:22:28,271] INFO Opening socket connection to server localhost/[0:0:0:0:0:0:0:1]:2181. (org.apache.zookeeper.ClientCnxn)
[2023-12-05 22:22:28,378] INFO Session: 0x10009bfe1540001 closed (org.apache.zookeeper.ZooKeeper)
[2023-12-05 22:22:28,378] INFO EventThread shut down for session: 0x10009bfe1540001 (org.apache.zookeeper.ClientCnxn)
[2023-12-05 22:22:28,379] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2023-12-05 22:22:28,379] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,382] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,382] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,382] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,382] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,382] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,382] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,382] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,382] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,383] INFO [ThrottledChannelReaper-ControllerMutation]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,383] INFO [ThrottledChannelReaper-ControllerMutation]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,383] INFO [ThrottledChannelReaper-ControllerMutation]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2023-12-05 22:22:28,383] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutting down socket server (kafka.network.SocketServer)
[2023-12-05 22:22:28,393] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutdown completed (kafka.network.SocketServer)
[2023-12-05 22:22:28,394] INFO Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics)
[2023-12-05 22:22:28,394] INFO Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics)
[2023-12-05 22:22:28,394] INFO Metrics reporters closed (org.apache.kafka.common.metrics.Metrics)
[2023-12-05 22:22:28,394] INFO Broker and topic stats closed (kafka.server.BrokerTopicStats)
[2023-12-05 22:22:28,395] INFO App info kafka.server for 0 unregistered (org.apache.kafka.common.utils.AppInfoParser)
[2023-12-05 22:22:28,395] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
